"기준연도","행정구역코드","통계항목","통계값"
2024,11040550,"to_in_001",15889
2024,11040550,"to_in_007",8121
2024,11040550,"to_in_008",7768
2024,11040560,"to_in_001",13546
2024,11040560,"to_in_007",6407
2024,11040560,"to_in_008",7139
2024,11040570,"to_in_001",21678
2024,11040570,"to_in_007",10115
2024,11040570,"to_in_008",11563
2024,11040580,"to_in_001",14124
2024,11040580,"to_in_007",6726
2024,11040580,"to_in_008",7398
2024,11040590,"to_in_001",14010
2024,11040590,"to_in_007",6674
2024,11040590,"to_in_008",7336
2024,11040620,"to_in_001",13540
2024,11040620,"to_in_007",6395
2024,11040620,"to_in_008",7145
2024,11040650,"to_in_001",14879
2024,11040650,"to_in_007",7382
2024,11040650,"to_in_008",7497
2024,11040660,"to_in_001",11689
2024,11040660,"to_in_007",5721
2024,11040660,"to_in_008",5968
2024,11040670,"to_in_001",14428
2024,11040670,"to_in_007",7421
2024,11040670,"to_in_008",7007
2024,11040680,"to_in_001",9822
2024,11040680,"to_in_007",4889
2024,11040680,"to_in_008",4933
2024,11040690,"to_in_001",9836
2024,11040690,"to_in_007",5131
2024,11040690,"to_in_008",4705
2024,11040700,"to_in_001",13186
2024,11040700,"to_in_007",6618
2024,11040700,"to_in_008",6568
2024,11040710,"to_in_001",25872
2024,11040710,"to_in_007",12063
2024,11040710,"to_in_008",13809
2024,11040720,"to_in_001",20849
2024,11040720,"to_in_007",9926
2024,11040720,"to_in_008",10923
2024,11040730,"to_in_001",24019
2024,11040730,"to_in_007",11197
2024,11040730,"to_in_008",12822
2024,11050,"to_in_001",345130
2024,11050,"to_in_007",164812
2024,11050,"to_in_008",180318
2024,11050530,"to_in_001",30729
2024,11050530,"to_in_007",14038
2024,11050530,"to_in_008",16691
2024,11050540,"to_in_001",22599
2024,11050540,"to_in_007",11033
2024,11050540,"to_in_008",11566
2024,11050550,"to_in_001",15233
2024,11050550,"to_in_007",7204
2024,11050550,"to_in_008",8029
2024,11050560,"to_in_001",19891
2024,11050560,"to_in_007",9322
2024,11050560,"to_in_008",10569
2024,11050570,"to_in_001",15239
2024,11050570,"to_in_007",7472
2024,11050570,"to_in_008",7767
2024,11050580,"to_in_001",26662
2024,11050580,"to_in_007",12955
2024,11050580,"to_in_008",13707
2024,11050590,"to_in_001",11157
2024,11050590,"to_in_007",5175
2024,11050590,"to_in_008",5982
2024,11050600,"to_in_001",23261
2024,11050600,"to_in_007",10973
2024,11050600,"to_in_008",12288
2024,11050610,"to_in_001",25148
2024,11050610,"to_in_007",11871
2024,11050610,"to_in_008",13277
2024,11050620,"to_in_001",26596
2024,11050620,"to_in_007",12515
2024,11050620,"to_in_008",14081
2024,11050630,"to_in_001",32953
2024,11050630,"to_in_007",16037
2024,11050630,"to_in_008",16916
2024,11050640,"to_in_001",22258
2024,11050640,"to_in_007",10783
2024,11050640,"to_in_008",11475
2024,11050650,"to_in_001",23116
2024,11050650,"to_in_007",11144
2024,11050650,"to_in_008",11972
2024,11050660,"to_in_001",25997
2024,11050660,"to_in_007",12438
2024,11050660,"to_in_008",13559
2024,11050670,"to_in_001",24291
2024,11050670,"to_in_007",11852
2024,11050670,"to_in_008",12439
2024,11060,"to_in_001",355789
2024,11060,"to_in_007",171604
2024,11060,"to_in_008",184185
2024,11060710,"to_in_001",15301
2024,11060710,"to_in_007",6905
2024,11060710,"to_in_008",8396
2024,11060720,"to_in_001",15975
2024,11060720,"to_in_007",7168
2024,11060720,"to_in_008",8807
2024,11060730,"to_in_001",24906
2024,11060730,"to_in_007",12188
2024,11060730,"to_in_008",12718
2024,11060800,"to_in_001",18449
2024,11060800,"to_in_007",8988
2024,11060800,"to_in_008",9461
2024,11060810,"to_in_001",39593
2024,11060810,"to_in_007",19291
2024,11060810,"to_in_008",20302
2024,11060820,"to_in_001",24670
2024,11060820,"to_in_007",12217
2024,11060820,"to_in_008",12453
2024,11060830,"to_in_001",33395
2024,11060830,"to_in_007",16567
2024,11060830,"to_in_008",16828
2024,11060840,"to_in_001",18348
2024,11060840,"to_in_007",8691
2024,11060840,"to_in_008",9657
2024,11060860,"to_in_001",26616
2024,11060860,"to_in_007",12741
2024,11060860,"to_in_008",13875
2024,11060870,"to_in_001",36673
2024,11060870,"to_in_007",17921
2024,11060870,"to_in_008",18752
2024,11060880,"to_in_001",32421
2024,11060880,"to_in_007",15866
2024,11060880,"to_in_008",16555
2024,11060890,"to_in_001",22471
2024,11060890,"to_in_007",10601
2024,11060890,"to_in_008",11870
2024,11060900,"to_in_001",19471
2024,11060900,"to_in_007",9354
2024,11060900,"to_in_008",10117
2024,11060910,"to_in_001",27500
2024,11060910,"to_in_007",13106
2024,11060910,"to_in_008",14394
2024,11070,"to_in_001",375066
2024,11070,"to_in_007",182365
2024,11070,"to_in_008",192701
2024,11070520,"to_in_001",23014
2024,11070520,"to_in_007",11364
2024,11070520,"to_in_008",11650
2024,11070540,"to_in_001",17740
2024,11070540,"to_in_007",8749
2024,11070540,"to_in_008",8991
2024,11070550,"to_in_001",14121
2024,11070550,"to_in_007",6935
2024,11070550,"to_in_008",7186
2024,11070570,"to_in_001",20716
2024,11070570,"to_in_007",10220
2024,11070570,"to_in_008",10496
2024,11070590,"to_in_001",22292
2024,11070590,"to_in_007",10789
2024,11070590,"to_in_008",11503
2024,11070600,"to_in_001",20800
2024,11070600,"to_in_007",9704
2024,11070600,"to_in_008",11096
2024,11070610,"to_in_001",18033
2024,11070610,"to_in_007",8875
2024,11070610,"to_in_008",9158
2024,11070620,"to_in_001",23604
2024,11070620,"to_in_007",11919
2024,11070620,"to_in_008",11685
2024,11070640,"to_in_001",32385
2024,11070640,"to_in_007",15462
2024,11070640,"to_in_008",16923
2024,11070650,"to_in_001",17857
2024,11070650,"to_in_007",8672
2024,11070650,"to_in_008",9185
2024,11070680,"to_in_001",15558
2024,11070680,"to_in_007",7656
2024,11070680,"to_in_008",7902
2024,11070690,"to_in_001",36290
2024,11070690,"to_in_007",17452
2024,11070690,"to_in_008",18838
2024,11070700,"to_in_001",18831
2024,11070700,"to_in_007",8859
2024,11070700,"to_in_008",9972
2024,11070710,"to_in_001",32567
2024,11070710,"to_in_007",15841
2024,11070710,"to_in_008",16726
2024,11070720,"to_in_001",23798
2024,11070720,"to_in_007",11602
2024,11070720,"to_in_008",12196
2024,11070730,"to_in_001",37460
2024,11070730,"to_in_007",18266
2024,11070730,"to_in_008",19194
2024,11080,"to_in_001",429210
2024,11080,"to_in_007",203170
2024,11080,"to_in_008",226040
2024,11080580,"to_in_001",13613
2024,11080580,"to_in_007",6325
2024,11080580,"to_in_008",7288
2024,11080590,"to_in_001",22229
2024,11080590,"to_in_007",10545
2024,11080590,"to_in_008",11684
2024,11080600,"to_in_001",20084
2024,11080600,"to_in_007",9834
2024,11080600,"to_in_008",10250
2024,11080610,"to_in_001",16394
2024,11080610,"to_in_007",7717
2024,11080610,"to_in_008",8677
2024,11080620,"to_in_001",17563
2024,11080620,"to_in_007",8455
2024,11080620,"to_in_008",9108
2024,11080630,"to_in_001",21793
2024,11080630,"to_in_007",10357
2024,11080630,"to_in_008",11436
2024,11080640,"to_in_001",17527
2024,11080640,"to_in_007",8528
2024,11080640,"to_in_008",8999
2024,11080650,"to_in_001",23845
2024,11080650,"to_in_007",11149
2024,11080650,"to_in_008",12696
2024,11080660,"to_in_001",34165
2024,11080660,"to_in_007",16111
2024,11080660,"to_in_008",18054
2024,11080680,"to_in_001",21093
2024,11080680,"to_in_007",10084
2024,11080680,"to_in_008",11009
2024,11080710,"to_in_001",24650
2024,11080710,"to_in_007",11821
2024,11080710,"to_in_008",12829
2024,11080720,"to_in_001",19388
2024,11080720,"to_in_007",8884
2024,11080720,"to_in_008",10504
2024,11080760,"to_in_001",22559
2024,11080760,"to_in_007",10900
2024,11080760,"to_in_008",11659
2024,11080770,"to_in_001",12859
2024,11080770,"to_in_007",6278
2024,11080770,"to_in_008",6581
2024,11080780,"to_in_001",14941
2024,11080780,"to_in_007",7285
2024,11080780,"to_in_008",7656
2024,11080810,"to_in_001",15490
2024,11080810,"to_in_007",7207
2024,11080810,"to_in_008",8283
2024,11080820,"to_in_001",22259
2024,11080820,"to_in_007",10385
2024,11080820,"to_in_008",11874
2024,11080830,"to_in_001",16076
2024,11080830,"to_in_007",6164
2024,11080830,"to_in_008",9912
2024,11080840,"to_in_001",39031
2024,11080840,"to_in_007",18727
2024,11080840,"to_in_008",20304
2024,11080850,"to_in_001",33651
2024,11080850,"to_in_007",16414
2024,11080850,"to_in_008",17237
2024,11090,"to_in_001",280470
2024,11090,"to_in_007",133834
2024,11090,"to_in_008",146636
2024,11090600,"to_in_001",16738
2024,11090600,"to_in_007",8086
2024,11090600,"to_in_008",8652
2024,11090610,"to_in_001",14236
2024,11090610,"to_in_007",6806
2024,11090610,"to_in_008",7430
2024,11090620,"to_in_001",15603
2024,11090620,"to_in_007",7201
2024,11090620,"to_in_008",8402
2024,11090630,"to_in_001",19469
2024,11090630,"to_in_007",9328
2024,11090630,"to_in_008",10141
2024,11090640,"to_in_001",19588
2024,11090640,"to_in_007",9246
2024,11090640,"to_in_008",10342
2024,11090650,"to_in_001",23123
2024,11090650,"to_in_007",11051
2024,11090650,"to_in_008",12072
2024,11090690,"to_in_001",22914
2024,11090690,"to_in_007",11250
2024,11090690,"to_in_008",11664
2024,11090700,"to_in_001",20856
2024,11090700,"to_in_007",9735
2024,11090700,"to_in_008",11121
2024,11090710,"to_in_001",27809
2024,11090710,"to_in_007",13174
2024,11090710,"to_in_008",14635
2024,11090720,"to_in_001",23664
2024,11090720,"to_in_007",11584
2024,11090720,"to_in_008",12080
2024,11090730,"to_in_001",29193
2024,11090730,"to_in_007",13977
2024,11090730,"to_in_008",15216
2024,11090740,"to_in_001",19342
2024,11090740,"to_in_007",9079
2024,11090740,"to_in_008",10263
2024,11090750,"to_in_001",27935
2024,11090750,"to_in_007",13317
2024,11090750,"to_in_008",14618
2024,11100,"to_in_001",296997
2024,11100,"to_in_007",142662
2024,11100,"to_in_008",154335
2024,11100510,"to_in_001",21320
2024,11100510,"to_in_007",9666
2024,11100510,"to_in_008",11654
2024,11100520,"to_in_001",17334
2024,11100520,"to_in_007",8210
2024,11100520,"to_in_008",9124
2024,11100530,"to_in_001",15975
2024,11100530,"to_in_007",7511
2024,11100530,"to_in_008",8464
2024,11100540,"to_in_001",17293
2024,11100540,"to_in_007",8103
2024,11100540,"to_in_008",9190
2024,11100550,"to_in_001",26645
2024,11100550,"to_in_007",13101
2024,11100550,"to_in_008",13544
2024,11100560,"to_in_001",17676
2024,11100560,"to_in_007",8847
2024,11100560,"to_in_008",8829
2024,11100570,"to_in_001",25060
2024,11100570,"to_in_007",12113
2024,11100570,"to_in_008",12947
2024,11100590,"to_in_001",22874
2024,11100590,"to_in_007",10879
2024,11100590,"to_in_008",11995
2024,11100600,"to_in_001",27370
2024,11100600,"to_in_007",13137
2024,11100600,"to_in_008",14233
2024,11100610,"to_in_001",12671
2024,11100610,"to_in_007",6238
