읍면동명,취약도,전체쉼터수,개방형쉼터수,접근성_전체,접근성_개방형,접근성_격차,사각지대_정밀
수서동,4.540670676931805,9.0,3.0,0.012345767743394501,0.003061199298886612,0.009284568444507889,True
도봉제1동,2.662773068007798,13.0,2.0,0.0,0.0,0.0,True
방학제2동,1.9627604315644316,8.0,1.0,0.019907581312487956,0.004412239822605604,0.015495341489882353,True
삼성동,1.7867694391772937,11.0,2.0,0.005975762365022953,0.0008192990441511152,0.005156463320871838,True
송천동,1.7335202982699776,7.0,2.0,0.011359685236950209,0.0037032680415856585,0.0076564171953645505,True
신월3동,1.6952052880106614,6.0,1.0,0.008332656515438243,0.003017019658260468,0.005315636857177775,True
응암제3동,1.5669260907233098,6.0,2.0,0.012688651387206498,0.003105137247382162,0.009583514139824336,True
인수동,1.5186710150045304,9.0,2.0,0.003609943421081667,0.00091449474904767,0.002695448672033997,True
망우제3동,1.5186455475080598,4.0,2.0,0.013668911335596976,0.004141348400426679,0.009527562935170297,True
우이동,1.4679512720570078,6.0,1.0,0.001032844453625284,0.0,0.001032844453625284,True
불광제2동,1.4357836149769856,8.0,1.0,0.01551804932557537,0.0014296197756778334,0.014088429549897537,True
중계2.3동,1.426883625670872,12.0,1.0,0.01725291096057594,0.0015355426449178173,0.015717368315658124,True
월계2동,1.4075182845862115,20.0,2.0,0.023325335051516353,0.0038162693867767644,0.01950906566473959,True
미아동,1.35674898882834,8.0,3.0,0.014373182774485738,0.0027700739954790395,0.011603108779006699,True
상계3.4동,1.3286360277748923,18.0,2.0,0.010530175211409313,0.0018930789035286992,0.008637096307880614,True
수유1동,1.278886981251269,6.0,1.0,0.005319750327600063,0.0009318543701733759,0.004387895957426688,True
상계5동,1.2495612558101867,13.0,2.0,0.030566023442828834,0.002669236384208364,0.02789678705862047,True
제기동,1.222247769499099,11.0,2.0,0.01257198926973353,0.002812972335453137,0.009759016934280391,True
대림제1동,1.112384102901116,8.0,2.0,0.03152430119802588,0.004378705654339815,0.027145595543686063,True
면목제3.8동,1.096074509791984,10.0,3.0,0.007617142804202054,0.0040963523778753345,0.00352079042632672,True
난곡동,1.0801354845711124,8.0,2.0,0.009210045633369164,0.0029407185136212438,0.006269327119747921,True
수유3동,0.9288406993761033,5.0,2.0,0.017314585176701137,0.0036659894544681542,0.013648595722232983,True
삼양동,0.8932048647918029,11.0,3.0,0.00921466126392687,0.0014793410962027542,0.007735320167724116,True
월계3동,0.8342466325565623,16.0,3.0,0.023688119862054983,0.00315428058723814,0.020533839274816845,True
중계4동,0.8260256762942826,17.0,2.0,0.01798522604187117,0.001447499881556248,0.01653772616031492,True
송중동,0.7636861086895996,12.0,2.0,0.00838654818143783,0.0016683339585220115,0.00671821422291582,True
갈현제1동,0.6876837308143346,6.0,1.0,0.020023078824732185,0.00319020320467833,0.016832875620053856,True
홍제제3동,0.6681396875426077,9.0,2.0,0.0162436303082914,0.004173865796563838,0.012069764511727563,True
성수2가제1동,0.6678395378316062,9.0,1.0,0.013272199715674254,0.000718274073719329,0.012553925641954925,True
영등포본동,0.6470483149703169,11.0,4.0,0.016618997745315032,0.004484884556272843,0.01213411318904219,True
녹번동,0.6370553381410324,16.0,4.0,0.010216550976591025,0.002897517486469514,0.00731903349012151,True
북가좌제2동,0.6241738145566347,7.0,1.0,0.016736445044604135,0.004048970135842973,0.012687474908761162,True
시흥제2동,0.6188710244639437,6.0,4.0,0.007252237558941063,0.003708371905453238,0.003543865653487825,True
불광제1동,0.5320165316779495,20.0,2.0,0.006140370512493669,0.0,0.006140370512493669,True
홍제제2동,0.5081974920511441,9.0,1.0,0.012781286852367665,0.001959450284233011,0.010821836568134655,True
상계1동,0.5017713061422335,30.0,3.0,0.002882266731802638,0.0003256798567008631,0.002556586875101775,True
미성동,0.475402864096125,10.0,2.0,0.0066414449542680914,0.001678660730468314,0.004962784223799777,True
답십리제2동,0.4653596847071538,12.0,3.0,0.011211131280986485,0.0037075015421302645,0.0075036297388562205,True
중곡제4동,0.4505851512530526,3.0,1.0,0.002813236622587115,0.0014216044717236538,0.0013916321508634611,True
송정동,0.4392423350848539,8.0,2.0,0.027052962985289097,0.0036113941697934844,0.02344156881549561,True
정릉제4동,0.4352726275539143,13.0,2.0,0.004650277668962944,0.0,0.004650277668962944,True
대조동,0.4338596601655579,7.0,2.0,0.013919958461943084,0.0031812254506544593,0.010738733011288625,True
망우본동,0.4334919696186701,17.0,4.0,0.016440548450204727,0.003690450145853065,0.012750098304351662,True
